dist_code,district,total,elected,appointed,agreement_url,status,notes
,Amherst-Pelham,9,5,4,,net-new-zero-coverage,"4 of the 5 ""elected"" Amherst seats sit ex officio by virtue of Amherst's own town election -- flagged", not yet modeled
08010000,Assabet Valley Regional Vocational Technical,7,7,0,,net-new-partial-coverage,Special act (Ch. 330 Acts of 1960)
08050000,Blackstone Valley Regional Vocational Technical,13,13,0,https://www.valleytech.k12.ma.us/fs/resource-manager/view/b162a105-febc-48c0-8081-c289ac6e41f3,DONE,consolidated this batch -- 13/13 towns
08060000,Blue Hills Regional Vocational Technical,9,9,0,,not-started,
09100000,Bristol County Agricultural,4,0,4,,OUT-OF-SCOPE-fully-appointed,4-member Governor-appointed Board of Trustees
08100000,Bristol-Plymouth Regional Vocational Technical,9,9,0,,not-started,
08150000,Cape Cod Regional Vocational Technical,24,0,24,,OUT-OF-SCOPE-fully-appointed,all seats appointed by town moderators
06350000,Central Berkshire,15,15,0,https://resources.finalsite.net/images/v1652850858/cbrsdorg/cvtxhioq3gewqwt31qe9/regagtmay2000.pdf,DONE,consolidated this batch -- 14/15 seats filled (Cummington gap)
06320000,Chesterfield-Goshen,6,6,0,,DONE,consolidated this batch -- 2/6 seats filled (Goshen gap; its file was mislabeled Hampshire Regional)
06400000,Concord-Carlisle,7,0,7,https://resources.finalsite.net/images/v1768422620/concordpsorg/g0as1xoiipm0pvmhi5ep/CCRSD_Regional_Agrmt.pdf,OUT-OF-SCOPE-fully-appointed,confirm before building -- table lists all 7 as appointed
06580000,Dudley-Charlton Reg,7,7,0,https://www.dcrsd.org/uploaded/District_Files/school_committee/DCRSD.District.Agreement.pdf,not-started,
08170000,Essex North Shore Agricultural and Technical School District,20,0,20,,OUT-OF-SCOPE-fully-appointed,by-laws not agreement; all seats appointed
06620000,Farmington River Reg,5,5,0,https://frrsd.org/wp-content/uploads/2025/01/FRRSD-RDA-FINAL-DESE-COPY-1.3.25.pdf,not-started,Sandisfield candidate file ambiguous (may be local not regional)
08180000,Franklin County Regional Vocational Technical,24,0,24,https://4.files.edl.io/894b/11/21/25/170448-d7da698b-7559-4968-8dd1-cb46d6b78b5f.pdf,OUT-OF-SCOPE-fully-appointed,
06720000,Gateway,15,15,0,https://middlefield-ma.gov/DocumentCenter/View/280/May-07-2022-Article13-PDF,DONE,consolidated this batch -- 13/15 seats filled
08210000,Greater Fall River Regional Vocational Technical,6,3,3,https://dimanregionalorg.finalsite.com/fs/resourcemanager/view/52106699-18d5-4210-a500-65611d7a131a,not-started,3 elected (Swansea/Somerset/Westport) + 3 Fall-River-appointed
08230000,Greater Lawrence Regional Vocational Technical,7,7,0,,not-started,
08280000,Greater Lowell Regional Vocational Technical,8,8,0,,not-started,
08250000,Greater New Bedford Regional Vocational Technical,8,0,8,,OUT-OF-SCOPE-fully-appointed,
06750000,Hamilton-Wenham,7,7,0,http://www.hwschools.net/uploaded/District/Documents_PDF's/14-15/HWRSD_Regional_Agreement_May_2010_Amended_2.13.14.pdf,DONE,consolidated this batch -- 7/7 seats filled but town split unknown (see org note)
06830000,Hampshire,17,17,0,,not-started,
06850000,Hawlemont,6,6,0,,DONE,consolidated this batch -- 3/6 seats filled (Charlemont gap)
04680000,Ma Academy for Math and Science,0,0,0,,OUT-OF-SCOPE,state-run magnet, no elected committee
06980000,Manchester Essex Regional,7,7,0,https://resources.finalsite.net/images/v1750790486/mersdorg/tkc4s4pyic5r4cuy589z/RegionalAgreement.pdf,DONE,consolidated this batch -- 3/7 seats filled (Manchester gap)
02460000,Martha's Vineyard,9,0,9,https://www.chilmarkma.gov/sites/g/files/vyhlif8411/f/uploads/mvrhs_regional_agreement_2022_restatement_showing_changes_from_1994_version_-_09-01-2022_sc_vote_-_reviewed_9-22-2022_by_dese.pdf,OUT-OF-SCOPE-fully-appointed,verify before any deletion of existing per-town files
07050000,Masconomet,11,11,0,https://www.masconomet.org/school-committee/about/masconomet-regional-agreement,DONE,consolidated this batch -- 11/11 towns
08300000,Minuteman Regional Vocational Technical,9,0,9,https://files.smartsites.parentsquare.com/12006/aa.pdf,OUT-OF-SCOPE-fully-appointed,
08320000,Montachusett Regional Vocational Technical,22,0,22,,OUT-OF-SCOPE-fully-appointed,
08520000,Nashoba Valley Regional Vocational Technical,14,0,14,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/930/NVTHS/3656014/Nashoba_Tech_District_Agreement_6.13.23.pdf,OUT-OF-SCOPE-fully-appointed,
07280000,New Salem-Wendell,10,10,0,,DONE,consolidated this batch -- 8/10 seats filled
09150000,Norfolk County Agricultural,7,3,4,,OUT-OF-SCOPE-ex-officio,"3 ""elected"" seats are county commissioners sitting ex officio -- excluded per repo's ex-officio convention", leaves 0 tracked
07350000,North Middlesex,9,9,0,,not-started,3 at-large + 6 town seats -- needs Up-Island-style second post for at-large
08530000,Northeast Metropolitan Regional Vocational Technical,12,12,0,,not-started,
08510000,Northern Berkshire Regional Vocational Technical,,,,,not-started,seat count/method unresolved -- do not build until resolved
08550000,Old Colony Regional Vocational Technical,15,0,15,,OUT-OF-SCOPE-fully-appointed,
07550000,Ralph C Mahar,9,8,1,https://townofpetersham.weebly.com/uploads/2/7/5/3/27531945/mahar_2024-0755.pdf,DONE,minted structure only (zero coverage) -- 8 elected seats tracked
07600000,Silver Lake,9,9,0,https://kingstonma.gov/DocumentCenter/View/3993/Fall-2023-Special-Town-Meeting-Warrant-Handout-Final-for-pdf,DONE,consolidated this batch -- 3/9 seats filled (Halifax gap)
08290000,South Middlesex Regional Vocational Technical,16,0,16,https://natickma.gov/DocumentCenter/View/8233/2019-Spring-ATM-Session-3,OUT-OF-SCOPE-fully-appointed,
08730000,South Shore Regional Vocational Technical,9,0,9,https://cms3.revize.com/revize/marshfield/Documents/Departments/Town%20Hall/Administration/SST%20Regl%20Agmt%208.16.24%20working%20document%20with%20highlights%20%284%29.pdf,OUT-OF-SCOPE-fully-appointed,Hanson's file was mislabeled here, not Whitman-Hanson
08720000,Southeastern Regional Vocational Technical,10,10,0,,not-started,
08760000,Southern Worcester County Regional Vocational School District,20,20,0,,not-started,
07660000,Southwick-Tolland-Granville Regional School District,7,7,0,,not-started,
07700000,Tantasqua,18,13,5,https://4.files.edl.io/14c5/02/07/23/203014-442ba6f2-55de-4023-9763-71b0816fd187.pdf,not-started,needs per-town seat allocation before consolidating
08780000,Tri-County Regional Vocational Technical,14,0,14,,OUT-OF-SCOPE-fully-appointed,
07750000,Wachusett,16,16,0,https://sterling-ma.gov/DocumentCenter/View/5871/2022-May-2-Annual-Town-Meeting-Warrant,DONE,consolidated this batch -- 16/16 towns
07800000,Whitman-Hanson,10,10,0,,DONE,consolidated this batch -- 6/10 seats filled (Hanson gap; its file was mislabeled South Shore RVT)
08850000,Whittier Regional Vocational Technical,9,0,9,https://www.wnewbury.org/DocumentCenter/View/524/Whittier-Vocational-Regional-Agreement,OUT-OF-SCOPE-fully-appointed,confirmed via own agreement text -- never built
