municipality,body,excluded_seats,reason,source_url
Westwood,Town Treasurer,all,Acts of 2024 c.77 converted the Treasurer to an appointed office and abolished the elected position upon appointment.,https://malegislature.gov/Laws/SessionLaws/Acts/2024/Chapter77
Westwood,Tax Collector,all,Acts of 2024 c.77 converted the Tax Collector to an appointed office and abolished the elected position upon appointment.,https://malegislature.gov/Laws/SessionLaws/Acts/2024/Chapter77
Westwood,Housing Authority,1 state-appointed seat,The state-appointed authority member is not a direct-voter municipal office.,https://www.townhall.westwood.ma.us/home/showpublisheddocument/28442/638195006750004604
Weymouth,School Committee,Mayor ex-officio seat,"Mayor serves on the School Committee by virtue of office, not through a separate school-ballot election.",https://www.weymouth.ma.us/mayor/files/town-charter
Whately,Frontier Regional School Committee,1 locally appointed Whately representative,Regional composition includes one Whately representative selected by the local school committee in addition to the direct-voter seat.,https://www.whately.org/town-clerk/minutes/special-town-meeting-minutes-1
Whitman,Housing Authority,1 town-appointed resident seat,Resident seat is appointed rather than directly elected.,https://www.whitman-ma.gov/DocumentCenter/View/3810/2024-Annual-Town-Report
Whitman,Housing Authority,1 state-appointed seat,State appointee is not directly elected.,https://www.whitman-ma.gov/DocumentCenter/View/3810/2024-Annual-Town-Report
Wilbraham,Board of Health,all / ex-officio Select Board,Select Board members serve as Board of Health by virtue of office; there is no separate Board of Health election.,https://www.wilbraham-ma.gov/DocumentCenter/View/7206/2025-Wilbraham-Annual-Town-Report
Wilbraham,Housing Authority,1 tenant-appointed seat,Tenant member is appointed rather than directly elected.,https://www.wilbraham-ma.gov/DocumentCenter/View/7206/2025-Wilbraham-Annual-Town-Report
Wilbraham,Housing Authority,1 Governor/state-appointed seat,State member is appointed rather than directly elected.,https://www.wilbraham-ma.gov/DocumentCenter/View/7206/2025-Wilbraham-Annual-Town-Report
